Threads,BlockSize,HackSize,Time_s,MFLOPS,NNZ,Matrix,Format,Mode,GFLOPS
-1,128,-1,0.0001244,49578.71,3083796,roadNet-PA.mtx,CSR,CUDA,49.57871
-1,256,-1,0.00011851,52043.32,3083796,roadNet-PA.mtx,CSR,CUDA,52.04332
-1,512,-1,0.00011895,51848.72,3083796,roadNet-PA.mtx,CSR,CUDA,51.84872
-1,1024,-1,0.000119,51830.59,3083796,roadNet-PA.mtx,CSR,CUDA,51.830589999999994
-1,128,-1,0.00520812,48849.2,127206144,Cube_Coup_dt0.mtx,CSR,CUDA,48.849199999999996
-1,256,-1,0.00522128,48726.04,127206144,Cube_Coup_dt0.mtx,CSR,CUDA,48.72604
-1,512,-1,0.00539109,47191.24,127206144,Cube_Coup_dt0.mtx,CSR,CUDA,47.19124
-1,1024,-1,0.00580189,43849.89,127206144,Cube_Coup_dt0.mtx,CSR,CUDA,43.84989
-1,128,-1,1.682e-05,2899.31,24382,mcfe.mtx,CSR,CUDA,2.89931
-1,256,-1,1.652e-05,2952.67,24382,mcfe.mtx,CSR,CUDA,2.95267
-1,512,-1,1.91e-05,2552.98,24382,mcfe.mtx,CSR,CUDA,2.55298
-1,1024,-1,2.51e-05,1942.97,24382,mcfe.mtx,CSR,CUDA,1.94297
-1,128,-1,5.132e-05,49630.09,1273389,mac_econ_fwd500.mtx,CSR,CUDA,49.630089999999996
-1,256,-1,5.369e-05,47438.05,1273389,mac_econ_fwd500.mtx,CSR,CUDA,47.438050000000004
-1,512,-1,5.702e-05,44664.02,1273389,mac_econ_fwd500.mtx,CSR,CUDA,44.664019999999994
-1,1024,-1,6.535e-05,38973.02,1273389,mac_econ_fwd500.mtx,CSR,CUDA,38.97302
-1,128,-1,0.00022138,36203.79,4007383,cant.mtx,CSR,CUDA,36.20379
-1,256,-1,0.0002257,35511.33,4007383,cant.mtx,CSR,CUDA,35.51133
-1,512,-1,0.00022938,34940.63,4007383,cant.mtx,CSR,CUDA,34.94063
-1,1024,-1,0.00028145,28476.74,4007383,cant.mtx,CSR,CUDA,28.476740000000003
-1,128,-1,1.026e-05,1433.45,7353,west2021.mtx,CSR,CUDA,1.4334500000000001
-1,256,-1,9.96e-06,1476.27,7353,west2021.mtx,CSR,CUDA,1.47627
-1,512,-1,9.71e-06,1514.21,7353,west2021.mtx,CSR,CUDA,1.51421
-1,1024,-1,1.065e-05,1380.9,7353,west2021.mtx,CSR,CUDA,1.3809
-1,128,-1,1.413e-05,10805.84,76367,cavity10.mtx,CSR,CUDA,10.80584
-1,256,-1,1.781e-05,8576.71,76367,cavity10.mtx,CSR,CUDA,8.576709999999999
-1,512,-1,2.19e-05,6974.92,76367,cavity10.mtx,CSR,CUDA,6.97492
-1,1024,-1,3.604e-05,4237.34,76367,cavity10.mtx,CSR,CUDA,4.2373400000000006
-1,128,-1,0.00017734,29595.94,2624331,cop20k_A.mtx,CSR,CUDA,29.59594
-1,256,-1,0.00016727,31378.31,2624331,cop20k_A.mtx,CSR,CUDA,31.378310000000003
-1,512,-1,0.00015866,33081.36,2624331,cop20k_A.mtx,CSR,CUDA,33.081360000000004
-1,1024,-1,0.00017365,30224.76,2624331,cop20k_A.mtx,CSR,CUDA,30.22476
-1,128,-1,0.000428,38248.3,8185136,PR02R.mtx,CSR,CUDA,38.2483
-1,256,-1,0.00042307,38694.11,8185136,PR02R.mtx,CSR,CUDA,38.69411
-1,512,-1,0.00043943,37253.39,8185136,PR02R.mtx,CSR,CUDA,37.253389999999996
-1,1024,-1,0.00047637,34364.53,8185136,PR02R.mtx,CSR,CUDA,34.36453
-1,128,-1,0.00025305,24544.57,3105536,webbase-1M.mtx,CSR,CUDA,24.54457
-1,256,-1,0.00025244,24603.68,3105536,webbase-1M.mtx,CSR,CUDA,24.60368
-1,512,-1,0.00025046,24798.58,3105536,webbase-1M.mtx,CSR,CUDA,24.79858
-1,1024,-1,0.00024114,25756.86,3105536,webbase-1M.mtx,CSR,CUDA,25.75686
-1,128,-1,1.46e-05,14005.59,102252,mhd4800a.mtx,CSR,CUDA,14.00559
-1,256,-1,1.352e-05,15129.62,102252,mhd4800a.mtx,CSR,CUDA,15.129620000000001
-1,512,-1,1.679e-05,12177.5,102252,mhd4800a.mtx,CSR,CUDA,12.1775
-1,1024,-1,2.426e-05,8428.84,102252,mhd4800a.mtx,CSR,CUDA,8.428840000000001
-1,128,-1,0.00115708,30336.02,17550675,af_1_k101.mtx,CSR,CUDA,30.33602
-1,256,-1,0.00115268,30451.82,17550675,af_1_k101.mtx,CSR,CUDA,30.45182
-1,512,-1,0.00113242,30996.69,17550675,af_1_k101.mtx,CSR,CUDA,30.996689999999997
-1,1024,-1,0.00127939,27436.1,17550675,af_1_k101.mtx,CSR,CUDA,27.4361
-1,128,-1,2.641e-05,32457.75,428650,bcsstk17.mtx,CSR,CUDA,32.45775
-1,256,-1,2.461e-05,34838.26,428650,bcsstk17.mtx,CSR,CUDA,34.838260000000005
