Threads,BlockSize,HackSize,Time_s,MFLOPS,NNZ,Matrix,Format,Mode,GFLOPS
-1,128,16,0.00014376,42902.0,3083796,roadNet-PA.mtx,HLL,CUDA,42.902
-1,256,16,0.0001472,41899.4,3083796,roadNet-PA.mtx,HLL,CUDA,41.8994
-1,512,16,0.00015694,39298.04,3083796,roadNet-PA.mtx,HLL,CUDA,39.29804
-1,1024,16,0.00018023,34220.6,3083796,roadNet-PA.mtx,HLL,CUDA,34.2206
-1,128,16,0.00271389,93744.47,127206144,Cube_Coup_dt0.mtx,HLL,CUDA,93.74447
-1,256,16,0.00275263,92425.26,127206144,Cube_Coup_dt0.mtx,HLL,CUDA,92.42526
-1,512,16,0.00272134,93487.96,127206144,Cube_Coup_dt0.mtx,HLL,CUDA,93.48796
-1,1024,16,0.00272212,93461.14,127206144,Cube_Coup_dt0.mtx,HLL,CUDA,93.46114
-1,128,16,2.112e-05,2309.25,24382,mcfe.mtx,HLL,CUDA,2.30925
-1,256,16,1.854e-05,2630.09,24382,mcfe.mtx,HLL,CUDA,2.63009
-1,512,16,1.925e-05,2533.04,24382,mcfe.mtx,HLL,CUDA,2.53304
-1,1024,16,2.173e-05,2243.63,24382,mcfe.mtx,HLL,CUDA,2.24363
-1,128,16,9.901e-05,25722.12,1273389,mac_econ_fwd500.mtx,HLL,CUDA,25.72212
-1,256,16,0.0001022,24919.94,1273389,mac_econ_fwd500.mtx,HLL,CUDA,24.91994
-1,512,16,0.00010546,24149.41,1273389,mac_econ_fwd500.mtx,HLL,CUDA,24.14941
-1,1024,16,0.00011179,22782.05,1273389,mac_econ_fwd500.mtx,HLL,CUDA,22.782049999999998
-1,128,16,0.00011579,69220.75,4007383,cant.mtx,HLL,CUDA,69.22075
-1,256,16,0.00011508,69646.14,4007383,cant.mtx,HLL,CUDA,69.64614
-1,512,16,0.00011734,68303.32,4007383,cant.mtx,HLL,CUDA,68.30332000000001
-1,1024,16,0.00011916,67261.44,4007383,cant.mtx,HLL,CUDA,67.26144000000001
-1,128,16,1.263e-05,1164.04,7353,west2021.mtx,HLL,CUDA,1.16404
-1,256,16,1.123e-05,1309.29,7353,west2021.mtx,HLL,CUDA,1.30929
-1,512,16,1.163e-05,1264.62,7353,west2021.mtx,HLL,CUDA,1.2646199999999999
-1,1024,16,1.254e-05,1172.35,7353,west2021.mtx,HLL,CUDA,1.17235
-1,128,16,1.722e-05,8869.98,76367,cavity10.mtx,HLL,CUDA,8.86998
-1,256,16,1.684e-05,9072.3,76367,cavity10.mtx,HLL,CUDA,9.072299999999998
-1,512,16,1.864e-05,8193.88,76367,cavity10.mtx,HLL,CUDA,8.19388
-1,1024,16,2.39e-05,6391.19,76367,cavity10.mtx,HLL,CUDA,6.39119
-1,128,16,8.908e-05,58923.94,2624331,cop20k_A.mtx,HLL,CUDA,58.92394
-1,256,16,8.891e-05,59036.35,2624331,cop20k_A.mtx,HLL,CUDA,59.03635
-1,512,16,9.119e-05,57555.16,2624331,cop20k_A.mtx,HLL,CUDA,57.55516
-1,1024,16,9.319e-05,56319.98,2624331,cop20k_A.mtx,HLL,CUDA,56.31998
-1,128,16,0.00025068,65302.21,8185136,PR02R.mtx,HLL,CUDA,65.30221
-1,256,16,0.00025025,65415.78,8185136,PR02R.mtx,HLL,CUDA,65.41578
-1,512,16,0.00025431,64371.23,8185136,PR02R.mtx,HLL,CUDA,64.37123
-1,1024,16,0.00026058,62822.64,8185136,PR02R.mtx,HLL,CUDA,62.82264
-1,128,16,0.00075469,8229.99,3105536,webbase-1M.mtx,HLL,CUDA,8.229989999999999
-1,256,16,0.00075653,8209.93,3105536,webbase-1M.mtx,HLL,CUDA,8.20993
-1,512,16,0.00075039,8277.16,3105536,webbase-1M.mtx,HLL,CUDA,8.27716
-1,1024,16,0.00073539,8446.01,3105536,webbase-1M.mtx,HLL,CUDA,8.44601
-1,128,16,1.645e-05,12428.53,102252,mhd4800a.mtx,HLL,CUDA,12.42853
-1,256,16,1.434e-05,14265.07,102252,mhd4800a.mtx,HLL,CUDA,14.26507
-1,512,16,1.542e-05,13261.57,102252,mhd4800a.mtx,HLL,CUDA,13.261569999999999
-1,1024,16,1.858e-05,11005.25,102252,mhd4800a.mtx,HLL,CUDA,11.00525
-1,128,16,0.00040386,86914.82,17550675,af_1_k101.mtx,HLL,CUDA,86.91482
-1,256,16,0.00040468,86738.88,17550675,af_1_k101.mtx,HLL,CUDA,86.73888000000001
-1,512,16,0.00040761,86114.44,17550675,af_1_k101.mtx,HLL,CUDA,86.11444
-1,1024,16,0.00043376,80923.44,17550675,af_1_k101.mtx,HLL,CUDA,80.92344
-1,128,16,3.789e-05,22627.22,428650,bcsstk17.mtx,HLL,CUDA,22.62722
-1,256,16,3.246e-05,26407.71,428650,bcsstk17.mtx,HLL,CUDA,26.407709999999998
-1,512,16,3.404e-05,25183.89,428650,bcsstk17.mtx,HLL,CUDA,25.183889999999998
-1,1024,16,3.963e-05,21633.26,428650,bcsstk17.mtx,HLL,CUDA,21.63326
-1,128,16,4.775e-05,42522.12,1015156,olafu.mtx,HLL,CUDA,42.52212
-1,256,16,4.492e-05,45196.79,1015156,olafu.mtx,HLL,CUDA,45.19679
-1,512,16,4.402e-05,46123.33,1015156,olafu.mtx,HLL,CUDA,46.12333
-1,1024,16,4.73e-05,42927.77,1015156,olafu.mtx,HLL,CUDA,42.927769999999995
-1,128,16,0.00059639,92858.04,27689972,ML_Laplace.mtx,HLL,CUDA,92.85803999999999
-1,256,16,0.00059541,93011.76,27689972,ML_Laplace.mtx,HLL,CUDA,93.01176
-1,512,16,0.00059695,92771.93,27689972,ML_Laplace.mtx,HLL,CUDA,92.77193
-1,1024,16,0.00060466,91588.2,27689972,ML_Laplace.mtx,HLL,CUDA,91.5882
-1,128,16,0.0140662,108.97,766396,dc1.mtx,HLL,CUDA,0.10897
-1,256,16,0.01339542,114.43,766396,dc1.mtx,HLL,CUDA,0.11443
-1,512,16,0.01342053,114.21,766396,dc1.mtx,HLL,CUDA,0.11420999999999999
-1,1024,16,0.0134474,113.98,766396,dc1.mtx,HLL,CUDA,0.11398
-1,128,16,3.98e-05,35752.37,711558,thermomech_TK.mtx,HLL,CUDA,35.75237
-1,256,16,4.058e-05,35072.85,711558,thermomech_TK.mtx,HLL,CUDA,35.072849999999995
-1,512,16,4.314e-05,32988.93,711558,thermomech_TK.mtx,HLL,CUDA,32.98893
-1,1024,16,4.803e-05,29632.45,711558,thermomech_TK.mtx,HLL,CUDA,29.632450000000002
-1,128,16,3.161e-05,36347.06,574458,thermal1.mtx,HLL,CUDA,36.34706
-1,256,16,2.896e-05,39676.9,574458,thermal1.mtx,HLL,CUDA,39.6769
-1,512,16,2.847e-05,40354.75,574458,thermal1.mtx,HLL,CUDA,40.35475
-1,1024,16,2.977e-05,38597.75,574458,thermal1.mtx,HLL,CUDA,38.59775
-1,128,16,1.83e-05,52931.1,484256,af23560.mtx,HLL,CUDA,52.9311
-1,256,16,1.688e-05,57376.3,484256,af23560.mtx,HLL,CUDA,57.3763
-1,512,16,1.68e-05,57660.51,484256,af23560.mtx,HLL,CUDA,57.66051
-1,1024,16,1.852e-05,52299.98,484256,af23560.mtx,HLL,CUDA,52.299980000000005
-1,128,16,9.93e-06,9.87,49,cage4.mtx,HLL,CUDA,0.009869999999999999
-1,256,16,8.5e-06,11.53,49,cage4.mtx,HLL,CUDA,0.011529999999999999
-1,512,16,8.67e-06,11.3,49,cage4.mtx,HLL,CUDA,0.011300000000000001
-1,1024,16,8.8e-06,11.13,49,cage4.mtx,HLL,CUDA,0.011130000000000001
-1,128,16,1.038e-05,770.12,3996,olm1000.mtx,HLL,CUDA,0.77012
-1,256,16,9.79e-06,816.71,3996,olm1000.mtx,HLL,CUDA,0.81671
-1,512,16,9.44e-06,846.9,3996,olm1000.mtx,HLL,CUDA,0.8469
-1,1024,16,1.037e-05,770.6,3996,olm1000.mtx,HLL,CUDA,0.7706000000000001
-1,128,16,1.629e-05,6989.54,56934,rdist2.mtx,HLL,CUDA,6.98954
