Threads,BlockSize,HackSize,Time_s,MFLOPS,NNZ,Matrix,Format,Mode,GFLOPS
1,-1,-1,0.00825069,747.52,3083796,roadNet-PA.mtx,CSR,OpenMP,0.74752
2,-1,-1,0.00440232,1400.99,3083796,roadNet-PA.mtx,CSR,OpenMP,1.40099
3,-1,-1,0.00283436,2176.01,3083796,roadNet-PA.mtx,CSR,OpenMP,2.17601
4,-1,-1,0.00215834,2857.57,3083796,roadNet-PA.mtx,CSR,OpenMP,2.85757
5,-1,-1,0.00179499,3436.0,3083796,roadNet-PA.mtx,CSR,OpenMP,3.436
6,-1,-1,0.00151983,4058.09,3083796,roadNet-PA.mtx,CSR,OpenMP,4.05809
7,-1,-1,0.00131646,4684.99,3083796,roadNet-PA.mtx,CSR,OpenMP,4.68499
8,-1,-1,0.00117103,5266.83,3083796,roadNet-PA.mtx,CSR,OpenMP,5.26683
9,-1,-1,0.00111762,5518.5,3083796,roadNet-PA.mtx,CSR,OpenMP,5.5185
10,-1,-1,0.00104027,5928.86,3083796,roadNet-PA.mtx,CSR,OpenMP,5.928859999999999
11,-1,-1,0.00097244,6342.37,3083796,roadNet-PA.mtx,CSR,OpenMP,6.34237
12,-1,-1,0.00085637,7202.02,3083796,roadNet-PA.mtx,CSR,OpenMP,7.20202
13,-1,-1,0.00078026,7904.5,3083796,roadNet-PA.mtx,CSR,OpenMP,7.9045
14,-1,-1,0.00073026,8445.71,3083796,roadNet-PA.mtx,CSR,OpenMP,8.445709999999998
15,-1,-1,0.00066977,9208.47,3083796,roadNet-PA.mtx,CSR,OpenMP,9.20847
16,-1,-1,0.00062996,9790.39,3083796,roadNet-PA.mtx,CSR,OpenMP,9.790389999999999
17,-1,-1,0.00059101,10435.77,3083796,roadNet-PA.mtx,CSR,OpenMP,10.43577
18,-1,-1,0.00055182,11176.79,3083796,roadNet-PA.mtx,CSR,OpenMP,11.17679
19,-1,-1,0.0005185,11895.15,3083796,roadNet-PA.mtx,CSR,OpenMP,11.89515
20,-1,-1,0.00050551,12200.65,3083796,roadNet-PA.mtx,CSR,OpenMP,12.20065
21,-1,-1,0.00066642,9254.83,3083796,roadNet-PA.mtx,CSR,OpenMP,9.25483
22,-1,-1,0.00073116,8435.36,3083796,roadNet-PA.mtx,CSR,OpenMP,8.435360000000001
23,-1,-1,0.00062821,9817.79,3083796,roadNet-PA.mtx,CSR,OpenMP,9.81779
24,-1,-1,0.00060468,10199.75,3083796,roadNet-PA.mtx,CSR,OpenMP,10.19975
25,-1,-1,0.00058856,10479.06,3083796,roadNet-PA.mtx,CSR,OpenMP,10.479059999999999
26,-1,-1,0.00057641,10700.08,3083796,roadNet-PA.mtx,CSR,OpenMP,10.70008
27,-1,-1,0.00055312,11150.58,3083796,roadNet-PA.mtx,CSR,OpenMP,11.15058
28,-1,-1,0.00055133,11186.73,3083796,roadNet-PA.mtx,CSR,OpenMP,11.186729999999999
29,-1,-1,0.00054757,11263.65,3083796,roadNet-PA.mtx,CSR,OpenMP,11.26365
30,-1,-1,0.00052585,11728.82,3083796,roadNet-PA.mtx,CSR,OpenMP,11.728819999999999
31,-1,-1,0.00051237,12037.34,3083796,roadNet-PA.mtx,CSR,OpenMP,12.03734
32,-1,-1,0.00049909,12357.56,3083796,roadNet-PA.mtx,CSR,OpenMP,12.35756
33,-1,-1,0.00047716,12925.66,3083796,roadNet-PA.mtx,CSR,OpenMP,12.92566
34,-1,-1,0.00045358,13597.69,3083796,roadNet-PA.mtx,CSR,OpenMP,13.59769
35,-1,-1,0.00044925,13728.7,3083796,roadNet-PA.mtx,CSR,OpenMP,13.7287
36,-1,-1,0.00043315,14238.8,3083796,roadNet-PA.mtx,CSR,OpenMP,14.2388
37,-1,-1,0.00049186,12539.24,3083796,roadNet-PA.mtx,CSR,OpenMP,12.53924
38,-1,-1,0.00041118,14999.63,3083796,roadNet-PA.mtx,CSR,OpenMP,14.99963
39,-1,-1,0.00040424,15257.15,3083796,roadNet-PA.mtx,CSR,OpenMP,15.25715
40,-1,-1,0.00164197,3756.22,3083796,roadNet-PA.mtx,CSR,OpenMP,3.75622
1,-1,-1,0.19877442,1279.9,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,1.2799
2,-1,-1,0.14259218,1784.2,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,1.7842
3,-1,-1,0.14339733,1774.18,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,1.77418
4,-1,-1,0.08882497,2864.2,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,2.8642
5,-1,-1,0.03270121,7779.91,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,7.77991
6,-1,-1,0.03135494,8113.95,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,8.113949999999999
7,-1,-1,0.0311631,8163.89,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,8.16389
8,-1,-1,0.03096552,8215.99,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,8.21599
9,-1,-1,0.03121127,8151.3,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,8.1513
10,-1,-1,0.03113347,8171.66,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,8.17166
11,-1,-1,0.03148228,8081.13,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,8.08113
12,-1,-1,0.03114243,8169.31,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,8.169310000000001
13,-1,-1,0.03092191,8227.57,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,8.22757
14,-1,-1,0.0309304,8225.31,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,8.22531
15,-1,-1,0.03092509,8226.73,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,8.22673
16,-1,-1,0.03073085,8278.73,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,8.27873
17,-1,-1,0.0307621,8270.32,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,8.27032
18,-1,-1,0.03105989,8191.02,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,8.19102
19,-1,-1,0.02665764,9543.69,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,9.54369
20,-1,-1,0.023924,10634.19,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,10.63419
21,-1,-1,0.02711504,9382.7,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,9.382700000000002
22,-1,-1,0.02660479,9562.65,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,9.56265
23,-1,-1,0.02543347,10003.05,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,10.00305
24,-1,-1,0.02485363,10236.42,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,10.23642
25,-1,-1,0.02448706,10389.66,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,10.38966
26,-1,-1,0.02435309,10446.82,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,10.446819999999999
27,-1,-1,0.02500602,10174.04,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,10.174040000000002
28,-1,-1,0.02436108,10443.39,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,10.443389999999999
29,-1,-1,0.02426156,10486.23,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,10.486229999999999
30,-1,-1,0.02456369,10357.25,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,10.35725
31,-1,-1,0.02443344,10412.46,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,10.41246
32,-1,-1,0.02431462,10463.35,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,10.46335
33,-1,-1,0.02439326,10429.61,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,10.42961
34,-1,-1,0.02439595,10428.46,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,10.42846
35,-1,-1,0.02451761,10376.72,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,10.376719999999999
36,-1,-1,0.02433179,10455.96,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,10.45596
37,-1,-1,0.02583634,9847.07,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,9.84707
38,-1,-1,0.02585331,9840.61,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,9.84061
39,-1,-1,0.02598914,9789.18,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,9.78918
40,-1,-1,0.02599526,9786.87,127206144,Cube_Coup_dt0.mtx,CSR,OpenMP,9.78687
1,-1,-1,2.962e-05,1646.45,24382,mcfe.mtx,CSR,OpenMP,1.64645
2,-1,-1,2.462e-05,1980.83,24382,mcfe.mtx,CSR,OpenMP,1.9808299999999999
3,-1,-1,0.00011367,428.99,24382,mcfe.mtx,CSR,OpenMP,0.42899
4,-1,-1,1.571e-05,3104.21,24382,mcfe.mtx,CSR,OpenMP,3.10421
5,-1,-1,1.09e-05,4473.07,24382,mcfe.mtx,CSR,OpenMP,4.47307
6,-1,-1,1.002e-05,4868.61,24382,mcfe.mtx,CSR,OpenMP,4.868609999999999
7,-1,-1,1.259e-05,3872.83,24382,mcfe.mtx,CSR,OpenMP,3.87283
8,-1,-1,1.71e-05,2851.69,24382,mcfe.mtx,CSR,OpenMP,2.85169
9,-1,-1,9.98e-06,4887.61,24382,mcfe.mtx,CSR,OpenMP,4.88761
10,-1,-1,1.785e-05,2731.49,24382,mcfe.mtx,CSR,OpenMP,2.73149
11,-1,-1,2.772e-05,1759.17,24382,mcfe.mtx,CSR,OpenMP,1.7591700000000001
12,-1,-1,2.766e-05,1763.27,24382,mcfe.mtx,CSR,OpenMP,1.76327
13,-1,-1,2.723e-05,1790.5,24382,mcfe.mtx,CSR,OpenMP,1.7905
14,-1,-1,3.13e-05,1558.01,24382,mcfe.mtx,CSR,OpenMP,1.55801
15,-1,-1,3.26e-05,1495.8,24382,mcfe.mtx,CSR,OpenMP,1.4958
16,-1,-1,3.239e-05,1505.39,24382,mcfe.mtx,CSR,OpenMP,1.50539
17,-1,-1,4.371e-05,1115.69,24382,mcfe.mtx,CSR,OpenMP,1.11569
18,-1,-1,3.794e-05,1285.34,24382,mcfe.mtx,CSR,OpenMP,1.28534
19,-1,-1,4.04e-05,1207.17,24382,mcfe.mtx,CSR,OpenMP,1.20717
20,-1,-1,4.223e-05,1154.81,24382,mcfe.mtx,CSR,OpenMP,1.15481
21,-1,-1,4.216e-05,1156.55,24382,mcfe.mtx,CSR,OpenMP,1.15655
22,-1,-1,4.408e-05,1106.19,24382,mcfe.mtx,CSR,OpenMP,1.10619
23,-1,-1,5.065e-05,962.73,24382,mcfe.mtx,CSR,OpenMP,0.96273
24,-1,-1,4.652e-05,1048.34,24382,mcfe.mtx,CSR,OpenMP,1.0483399999999998
25,-1,-1,4.775e-05,1021.26,24382,mcfe.mtx,CSR,OpenMP,1.02126
26,-1,-1,5.133e-05,949.95,24382,mcfe.mtx,CSR,OpenMP,0.9499500000000001
27,-1,-1,5.134e-05,949.8,24382,mcfe.mtx,CSR,OpenMP,0.9498
28,-1,-1,5.509e-05,885.14,24382,mcfe.mtx,CSR,OpenMP,0.88514
29,-1,-1,5.82e-05,837.91,24382,mcfe.mtx,CSR,OpenMP,0.8379099999999999
30,-1,-1,5.573e-05,874.94,24382,mcfe.mtx,CSR,OpenMP,0.87494
31,-1,-1,5.96e-05,818.14,24382,mcfe.mtx,CSR,OpenMP,0.81814
32,-1,-1,6.354e-05,767.51,24382,mcfe.mtx,CSR,OpenMP,0.76751
33,-1,-1,6.889e-05,707.87,24382,mcfe.mtx,CSR,OpenMP,0.70787
34,-1,-1,6.405e-05,761.34,24382,mcfe.mtx,CSR,OpenMP,0.76134
35,-1,-1,7.119e-05,685.02,24382,mcfe.mtx,CSR,OpenMP,0.68502
36,-1,-1,6.745e-05,723.0,24382,mcfe.mtx,CSR,OpenMP,0.723
37,-1,-1,8.684e-05,561.52,24382,mcfe.mtx,CSR,OpenMP,0.56152
38,-1,-1,7.902e-05,617.14,24382,mcfe.mtx,CSR,OpenMP,0.61714
39,-1,-1,8.06e-05,604.98,24382,mcfe.mtx,CSR,OpenMP,0.6049800000000001
40,-1,-1,8.468e-05,575.84,24382,mcfe.mtx,CSR,OpenMP,0.57584
1,-1,-1,0.0013107,1943.07,1273389,mac_econ_fwd500.mtx,CSR,OpenMP,1.9430699999999999
2,-1,-1,0.00073848,3448.68,1273389,mac_econ_fwd500.mtx,CSR,OpenMP,3.44868
3,-1,-1,0.00048758,5223.33,1273389,mac_econ_fwd500.mtx,CSR,OpenMP,5.22333
4,-1,-1,0.00036594,6959.48,1273389,mac_econ_fwd500.mtx,CSR,OpenMP,6.959479999999999
5,-1,-1,0.0002948,8639.08,1273389,mac_econ_fwd500.mtx,CSR,OpenMP,8.63908
6,-1,-1,0.0002489,10232.05,1273389,mac_econ_fwd500.mtx,CSR,OpenMP,10.23205
7,-1,-1,0.00026502,9609.81,1273389,mac_econ_fwd500.mtx,CSR,OpenMP,9.60981
8,-1,-1,0.0002007,12689.31,1273389,mac_econ_fwd500.mtx,CSR,OpenMP,12.689309999999999
9,-1,-1,0.00017542,14518.43,1273389,mac_econ_fwd500.mtx,CSR,OpenMP,14.51843
10,-1,-1,0.00016457,15475.53,1273389,mac_econ_fwd500.mtx,CSR,OpenMP,15.475530000000001
11,-1,-1,0.00015746,16174.55,1273389,mac_econ_fwd500.mtx,CSR,OpenMP,16.17455
12,-1,-1,0.00014502,17561.5,1273389,mac_econ_fwd500.mtx,CSR,OpenMP,17.5615
13,-1,-1,0.00013618,18701.94,1273389,mac_econ_fwd500.mtx,CSR,OpenMP,18.70194
14,-1,-1,0.00012924,19705.43,1273389,mac_econ_fwd500.mtx,CSR,OpenMP,19.70543
15,-1,-1,0.00012567,20265.17,1273389,mac_econ_fwd500.mtx,CSR,OpenMP,20.265169999999998
