Threads,BlockSize,HackSize,Time_s,MFLOPS,NNZ,Matrix,Format,Mode,GFLOPS
1,-1,16,0.01573476,391.97,3083796,roadNet-PA.mtx,HLL,OpenMP,0.39197000000000004
2,-1,16,0.00848174,727.16,3083796,roadNet-PA.mtx,HLL,OpenMP,0.7271599999999999
3,-1,16,0.00553869,1113.55,3083796,roadNet-PA.mtx,HLL,OpenMP,1.11355
4,-1,16,0.00428656,1438.82,3083796,roadNet-PA.mtx,HLL,OpenMP,1.43882
5,-1,16,0.00348096,1771.81,3083796,roadNet-PA.mtx,HLL,OpenMP,1.7718099999999999
6,-1,16,0.00291012,2119.36,3083796,roadNet-PA.mtx,HLL,OpenMP,2.11936
7,-1,16,0.00250447,2462.63,3083796,roadNet-PA.mtx,HLL,OpenMP,2.4626300000000003
8,-1,16,0.00233923,2636.59,3083796,roadNet-PA.mtx,HLL,OpenMP,2.63659
9,-1,16,0.00211457,2916.71,3083796,roadNet-PA.mtx,HLL,OpenMP,2.91671
10,-1,16,0.00190494,3237.68,3083796,roadNet-PA.mtx,HLL,OpenMP,3.2376799999999997
11,-1,16,0.00173773,3549.22,3083796,roadNet-PA.mtx,HLL,OpenMP,3.5492199999999996
12,-1,16,0.00158552,3889.95,3083796,roadNet-PA.mtx,HLL,OpenMP,3.88995
13,-1,16,0.00146822,4200.74,3083796,roadNet-PA.mtx,HLL,OpenMP,4.20074
14,-1,16,0.00136352,4523.29,3083796,roadNet-PA.mtx,HLL,OpenMP,4.52329
15,-1,16,0.0012808,4815.41,3083796,roadNet-PA.mtx,HLL,OpenMP,4.81541
16,-1,16,0.00122339,5041.41,3083796,roadNet-PA.mtx,HLL,OpenMP,5.04141
17,-1,16,0.00112929,5461.49,3083796,roadNet-PA.mtx,HLL,OpenMP,5.4614899999999995
18,-1,16,0.00105456,5848.51,3083796,roadNet-PA.mtx,HLL,OpenMP,5.84851
19,-1,16,0.00101745,6061.83,3083796,roadNet-PA.mtx,HLL,OpenMP,6.06183
20,-1,16,0.0009747,6327.68,3083796,roadNet-PA.mtx,HLL,OpenMP,6.32768
21,-1,16,0.001292,4773.68,3083796,roadNet-PA.mtx,HLL,OpenMP,4.773680000000001
22,-1,16,0.00132364,4659.58,3083796,roadNet-PA.mtx,HLL,OpenMP,4.65958
23,-1,16,0.00120314,5126.25,3083796,roadNet-PA.mtx,HLL,OpenMP,5.12625
24,-1,16,0.00114969,5364.56,3083796,roadNet-PA.mtx,HLL,OpenMP,5.36456
25,-1,16,0.00111073,5552.73,3083796,roadNet-PA.mtx,HLL,OpenMP,5.5527299999999995
26,-1,16,0.00107927,5714.57,3083796,roadNet-PA.mtx,HLL,OpenMP,5.71457
27,-1,16,0.00103981,5931.47,3083796,roadNet-PA.mtx,HLL,OpenMP,5.93147
28,-1,16,0.00102074,6042.25,3083796,roadNet-PA.mtx,HLL,OpenMP,6.04225
29,-1,16,0.00097951,6296.61,3083796,roadNet-PA.mtx,HLL,OpenMP,6.296609999999999
30,-1,16,0.00095904,6431.03,3083796,roadNet-PA.mtx,HLL,OpenMP,6.43103
31,-1,16,0.00093376,6605.08,3083796,roadNet-PA.mtx,HLL,OpenMP,6.60508
